Ticker,Div,Spread,Maturity Date,Reset Date,RefPrice
AIM.PR.A,1.20 ,375,1/19/2055,3/31/25,18.30 
AIM.PR.C,1.50 ,420,1/19/2055,3/1/24,21.20 
ALA.PR.A,0.77 ,266,1/19/2055,9/1/25,19.78 
ALA.PR.E,1.35 ,317,1/19/2055,12/31/23,24.96 
ALA.PR.G,1.06 ,306,1/19/2055,9/30/24,23.85 
ALA.PR.K,1.25 ,380,1/19/2055,3/31/22,25.48 
AQN.PR.A,1.23 ,294,1/30/24,12/31/23,25.24 
BAM.PF.A,1.27 ,290,1/19/2055,9/30/23,24.70 
BAM.PF.B,1.11 ,263,1/19/2055,3/1/24,23.31 
BAM.PF.E,0.89 ,255,1/19/2055,3/31/25,21.74 
BAM.PF.F,1.01 ,286,1/19/2055,9/30/24,24.20 
BAM.PF.G,1.12 ,284,1/19/2055,6/30/26,23.22 
BAM.PF.H,1.25 ,417,1/30/26,12/31/25,27.93 
BAM.PF.I,1.20 ,385,4/30/22,3/31/22,25.90 
BAM.PR.G,0.69 ,230,1/19/2055,11/1/21,17.05 
BAM.PR.R,0.81 ,230,1/19/2055,6/30/26,20.31 
BAM.PR.T,0.87 ,231,1/19/2055,3/31/22,20.36 
BAM.PR.X,0.68 ,180,1/19/2055,6/15/22,17.49 
BAM.PR.Z,1.17 ,296,1/19/2055,12/1/22,24.58 
BCE.PR.K,0.74 ,188,1/19/2055,12/30/21,17.52 
BCE.PR.M,0.74 ,209,1/19/2055,3/31/26,18.62 
BCE.PR.O,1.14 ,309,1/19/2055,3/31/22,25.05 
BCE.PR.Q,1.20 ,264,1/19/2055,9/30/23,24.12 
BEP.PR.G,1.38 ,447,1/31/26,1/1/26,27.17 
BIK.PR.A,1.46 ,356,4/30/24,3/31/24,26.00 
BIP.PR.A,0.99 ,356,7/30/25,6/30/25,26.00 
BIP.PR.B,1.38 ,453,1/30/26,12/31/25,25.59 
BIP.PR.C,1.34 ,464,10/30/21,9/30/21,25.34 
BIR.PR.A,2.09 ,683,10/01/22,9/30/22,26.00 
BMO.PR.B,1.21 ,406,3/27/22,2/25/22,25.44 
AX.PR.E,1.37 ,330,1/19/2055,9/30/23,23.70 
BMO.PR.S,1.00 ,233,1/19/2055,5/25/24,24.20 
BMO.PR.T,0.91 ,224,1/19/2055,8/25/24,23.88 
BMO.PR.W,0.96 ,222,1/19/2055,11/25/24,23.99 
BMO.PR.Y,0.76 ,271,1/19/2055,8/25/25,24.82 
BNS.PR.H,1.21 ,419,2/25/22,1/26/22,25.45 
BPO.PR.A,1.19 ,315,1/19/2055,12/31/24,19.90 
BPO.PR.C,1.53 ,518,7/30/26,6/30/26,26.58 
BPO.PR.N,1.00 ,307,1/19/2055,6/30/26,18.35 
BPO.PR.P,1.04 ,300,1/19/2055,3/31/22,18.55 
BPO.PR.R,1.04 ,348,1/19/2055,9/30/21,20.00 
BPO.PR.T,1.28 ,316,1/19/2055,12/31/23,21.34 
BRF.PR.A,0.78 ,262,1/19/2055,4/30/25,20.72 
BRF.PR.C,1.09 ,294,1/19/2055,7/31/24,22.84 
CF.PR.A,0.97 ,321,1/19/2055,9/30/21,18.85 
CF.PR.C,1.25 ,403,1/19/2055,6/15/22,23.80 
CIU.PR.C,0.57 ,136,1/19/2055,6/1/26,15.35 
CM.PR.P,0.94 ,224,1/19/2055,1/31/25,24.29 
CM.PR.Q,0.79 ,279,1/19/2055,7/31/25,24.48 
CPX.PR.A,0.66 ,217,1/19/2055,12/31/25,15.10 
CPX.PR.C,1.30 ,323,1/19/2055,12/31/23,24.96 
CPX.PR.E,1.31 ,315,1/19/2055,6/30/23,23.71 
CPX.PR.G,1.50 ,526,1/30/22,12/31/21,25.85 
CSE.PR.A,0.93 ,271,1/19/2055,7/31/26,16.00 
CU.PR.C,0.85 ,240,1/19/2055,6/15/22,22.00 
CM.PR.Y,1.29 ,362,8/30/24,7/31/24,26.75 
CU.PR.I,1.13 ,369,12/31/25,12/1/25,26.83 
CVE.PR.A,0.64 ,173,1/19/2055,3/31/26,15.65 
CVE.PR.C,1.17 ,313,1/19/2055,12/31/24,21.85 
CVE.PR.E,1.15 ,357,1/19/2055,3/1/25,23.05 
CVE.PR.G,0.98 ,352,1/19/2055,6/30/26,22.12 
CWB.PR.B,1.10 ,276,1/19/2055,4/30/24,24.00 
ECN.PR.A,1.63 ,544,1/30/22,12/31/21,25.54 
