Ticker,Spread,RefPrice,Type,Mult
ALA.PR.B,266,15.20,T,
BAM.PR.B,,11.85,P,0.7
BAM.PR.C,,11.85,P,0.7
BAM.PR.E,,16.19,P,1
BAM.PR.K,,11.84,P,0.7
BCE.PR.B,0,15.44,P,1
BCE.PR.D,0,15.41,P,1
BCE.PR.J,0,15.38,P,1
BCE.PR.N,209,14.60,T,
BCE.PR.S,0,15.39,P,1
BCE.PR.Y,0,15.39,P,1
BMO.PR.A,115,24.51,T,
BPO.PR.X,,10.70,P,0.7
BRF.PR.B,262,16.98,T,
CVE.PR.B,173,12.40,T,
EMA.PR.B,184,13.75,T,
FFH.PR.D,315,18.50,T,
FFH.PR.F,216,14.73,T,
FFH.PR.H,256,16.20,T,
FFH.PR.J,285,17.28,T,
FN.PR.B,207,12.25,T,
FTS.PR.I,145,12.95,T,
MFC.PR.P,141,13.55,T,
PWF.PR.A,,12.86,P,0.7
PWF.PR.Q,160,13.94,T,
SLF.PR.J,141,13.41,T,
SLF.PR.K,217,16.40,T,
TA.PR.E,203,12.20,T,
TRI.PR.B,0,13.22,P,0.7
TRP.PR.F,192,14.45,T,
TRP.PR.H,128,12.30,T,
TRP.PR.I,154,12.70,T,
