Ticker,Rating,Div,Spread,Reset Date,Price,Notes
AIM.PR.A,ZR,$1.12500,375,03/2020,$16.55,
AIM.PR.C,ZR,$1.50250,420,03/2024,$19.48,
BAM.PR.G,P2L,$0.68750,230,11/2021,$14.52,
EMA.PR.A,P3H,$0.63875,184,08/2020,$14.15,
PWF.PR.P,P2H,$0.57650,160,01/2021,$13.85,
BNS.PR.Z,P2Hb,$0.51575,134,02/2021,$24.35,
AZP.PR.B,P5H,$1.39250,418,12/2024,$18.33,
GMP.PR.B,P4H,$0.90275,289,03/2021,$12.50,
CM.PR.Q,P2In,$0.90000,279,07/2020,$19.04,NVCC
HSE.PR.A,P2L,$0.60100,173,03/21,$12.25,
ALA.PR.A,P3I,$0.84500,266,09/2020,$15.28,
MFC.PR.O,P2I,$1.40000,497,06/2021,$25.78,
TA.PR.D,P3L,$0.67725,203,03/2021,$11.74,
TD.PF.D,P2In,$0.90000,279,07/2020,$19.75,NVCC
EML.PR.A,P2I,$1.43750,499,04/2021,$25.73,
PPL.PR.I,P3I,$1.18750,391,12/2020,$20.82,
NA.PR.X,P2Ln,$1.40000,490,05/2021,$25.61,NVCC
FN.PR.A,P3I,$0.69750,207,03/2021,$12.20,
TRP.PR.C,P2L,$0.56575,154,01/2021,$12.62,
BCE.PR.M,P3I,$0.69100,209,03/2021,$14.45,
FFH.PR.G,P3H,$0.82950,256,09/2020,$15.79,
NA.PR.A,P2Ln,$1.35000,466,08/2021,$25.60,NVCC
TRP.PR.G,P2L,$0.95000,296,11/2020,$18.90,
BBD.PR.D,P6,$0.78350,296,08/2022,$11.11,
FFH.PR.I,P3H,$0.92700,285,12/2020,$17.15,
PPL.PR.K,P3I,$1.43750,500,03/2021,$25.75,Min Reset 5.75%
CU.PR.I,P2H,$1.12500,369,12/2020,$25.61,Min Reset 4.50%
BPO.PR.C,P3I,$1.50000,518,06/2021,$26.15,Min Reset 6.00%
EFN.PR.G,P3H,$1.62500,534,09/2020,$24.11,
CPX.PR.A,P3L,$0.76500,217,12/2020,$13.15,
BIP.PR.A,ZR,$1.12500,356,06/2020,$20.47,ROC
